time_s,rpm,current_A,torque_Nm,back_emf_V,omega_rad_s,voltage_V,load_Nm,reference_rpm,measured_rpm,error_rpm,raw_voltage_V,integrator_V,derivative_rpm_s,aw_error_V,voltage_command_sat_V,duty_cycle,voltage_avg_V,pwm_error_V
0.54475,499.792606336439,0.105396950536444,0.00526984752682218,2.61690796730842,52.3381593461684,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5448,499.792778307556,0.105396425359114,0.00526982126795568,2.61690886774708,52.3381773549417,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54485,499.792950145142,0.105395903846133,0.00526979519230666,2.61690976748658,52.3381953497316,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.5449,499.793121850059,0.105395385835784,0.00526976929178919,2.61691066653142,52.3382133306284,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.54495,499.79329342313,0.105394871174126,0.0052697435587063,2.61691156488592,52.3382312977185,2.82768078576394,0,500,499.790010019314,0.209989980686373,2.82768078576394,2.826378101011,3.82449493884247,0,2.82768078576394,0.235640065480328,2.82768078576394,0
0.545,499.793464865145,0.105394359714625,0.00526971798573125,2.61691246255421,52.3382492510843,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54505,499.793636166232,0.10539376303494,0.00526968815174699,2.61691335948461,52.3382671896921,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5451,499.793807317181,0.105393173593444,0.00526965867967219,2.61691425562888,52.3382851125776,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.54515,499.793978319689,0.105392591056186,0.00526962955280929,2.61691515099592,52.3383030199183,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
0.5452,499.794149175371,0.105392015105291,0.00526960075526454,2.61691604559418,52.3383209118836,2.82767716541239,0,500,499.793464865145,0.206535134854789,2.82767716541239,2.82639591299148,3.76288675429938,0,2.82767716541239,0.235639763784366,2.82767716541239,0
